waste,wst_oper,unit,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 
EE_ATD,COL,KG_HAB,NL	: 	0.11 	0.07 	0.06 	0.14 	0.17 	0.17 	0.18 	0.17 	0.18 	0.11 	0.1 	0.09 	0.06 
EE_ATD,COL,KG_HAB,NO	: 	0.05 	0.07 	0.06 	0.04 	0.09 	0.09 	0.11 	0.04 	0.05 	0.03 	0.04 	0.05 	0.03 
EE_ATD,COL,KG_HAB,PL	: 	0.05 	0.03 	0 	0 	0.01 	0.01 	0.01 	0 	0 	0 	0.01 	0 	: 
EE_ATD,COL,KG_HAB,PT	: 	0.02 	0.02 d	0.02 	0.01 	0.02 	0.01 	0.03 	0.04 	0.13 	0.06 	0.01 	0 	: 
EE_ATD,COL,KG_HAB,RO	: 	: 	0.01 	0 	0 	0.01 	0 	0 	0 	0.01 	0 	0 	0 	: 
EE_ATD,COL,KG_HAB,SE	: 	0.05 	0.09 	0.08 	0.05 	0.09 	0.07 	0.04 	0.04 	0.03 	0.02 	0.01 	0.01 	0 
EE_ATD,COL,KG_HAB,SI	: 	0.05 	0.06 	0.01 	0.02 	0 	0.03 	0.02 	0.02 	0.03 	0.03 	0.04 	: 	: 
EE_ATD,COL,KG_HAB,SK	: 	0.03 	0.02 	0.05 	0.04 	0.03 	0.04 	0.04 	0.02 	0.01 	0.03 	0.02 	0.03 	0 
EE_ATD,COL,KG_HAB,UK	: 	0.01 	0.01 	0.01 	0 d	0.01 	0.01 	0.02 	0.01 	0.01 	0.04 	0.01 	: 	: 
EE_ATD,COL,T,AT	109 	283 	145 	75 	56 	57 	54 	52 	68 	33 	146 	87 	114 	36 
EE_ATD,COL,T,BE	2827 	453 	846 	688 	2738 	2343 	1838 	1646 	1313 	2104 	279 	0 	: 	: 
EE_ATD,COL,T,BG	: 	200 	162 	158 d	26 d	153 	315 	211 	230 	91 	: 	: 	: 	: 
EE_ATD,COL,T,CY	: 	0 	1 	65 	5 	6 	15 	8 	0 	0 	0 	0 	: 	: 
EE_ATD,COL,T,CZ	258 	132 	264 	192 	52 	50 	64 	71 	53 	35 	8 	2 	: 	: 
EE_ATD,COL,T,DE	1238 	1170 	1570 	4799 	5899 	4346 	4398 	4308 	4121 	7039 	5557 	2977 	6958 	: 
EE_ATD,COL,T,DK	10 	0 	0 	0 	1 	1 	29 	34 	10 	1 	21 	10 	55 	: 
EE_ATD,COL,T,EE	11 	8 	4 	0 	0 	0 	0 	0 	0 	1 	111 	0 	0 	: 
EE_ATD,COL,T,EL	472 	682 	573 d	481 	260 d	261 d	218 d	188 d	93 	337 	280 	425 	111 	5 
EE_ATD,COL,T,ES	2071 	1771 	2150 	3023 	10467 	98 	6875 	32 	151 	435 	331 	451 	: 	: 
EE_ATD,COL,T,EU27_2020	: 	16276 s	16753 s	21100 	28408 	14721 	20109 	13027 	: 	: 	: 	: 	: 	: 
EE_ATD,COL,T,EU28	: 	16970 s	17442 s	21794 	28515 	15095 	20750 	14340 	: 	: 	: 	: 	: 	: 
EE_ATD,COL,T,FI	950 	502 	641 	605 	713 	404 	395 	493 	189 	492 	544 	398 	470 	170 
EE_ATD,COL,T,FR	3636 	3040 	2999 	2977 	1890 	1136 	809 	1027 	594 	788 	869 	1028 	332 	: 
EE_ATD,COL,T,HR	116 	118 	144 	166 	62 	48 	188 	141 	: 	: 	: 	: 	: 	: 
EE_ATD,COL,T,HU	: 	94 	84 	55 	69 	54 	94 	45 	30 	36 	45 	13 	56 	38 
EE_ATD,COL,T,IE	1022 	479 	317 	2356 e	599 	1090 	493 	136 	893 	255 	1509 	2007 	: 	: 
EE_ATD,COL,T,IS	: 	4 	3 	2 	0 	0 	14 	9 	6 	0 	: 	: 	: 	: 
EE_ATD,COL,T,IT	: 	: 	: 	2871 	2124 	22 	24 	27 	14 	0 	467 	255 	: 	: 
EE_ATD,COL,T,LI	: 	: 	: 	: d	: 	: 	0 d	0 d	0 d	0 d	: 	: 	: 	: 
EE_ATD,COL,T,LT	: 	119 	69 	54 	31 	34 	20 	32 	15 	24 	33 	11 	9 	1 
EE_ATD,COL,T,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL,T,LV	69 	61 	34 	36 	47 	112 	157 	135 	34 	56 	39 	37 	: 	: 
EE_ATD,COL,T,MT	: 	7 	14 	0 	0 	1 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL,T,NL	1804 	1874 	1203 	1001 	2363 	2899 	2814 	3060 	2831 	3048 	1875 	1669 	1396 	926 
EE_ATD,COL,T,NO	380 	268 	346 	307 	204 	469 	472 	546 	206 	253 	165 	180 	226 	126 
EE_ATD,COL,T,PL	: 	1724 	1039 	126 	115 	251 	249 	338 	150 	183 	141 	193 	23 	: 
EE_ATD,COL,T,PT	: 	239 	242 d	224 	68 	164 	62 	286 	401 	1364 	670 	111 	0 	: 
EE_ATD,COL,T,RO	: 	: 	240 	95 	65 	150 	57 	88 	80 	119 	14 	2 	0 	: 
EE_ATD,COL,T,SE	693 	465 	914 	750 	478 	877 	639 	409 	345 	240 	142 	106 	113 	42 
EE_ATD,COL,T,SI	: 	104 	114 	23 	36 	7 	62 	44 	40 	56 	53 	81 	: 	: 
EE_ATD,COL,T,SK	: 	165 	113 	281 	244 	157 	240 	218 	83 	72 	155 	97 	180 	0 
EE_ATD,COL,T,UK	873 	695 	689 	694 	107 d	374 	640 	1313 	592 	644 	2393 	889 	: 	: 
EE_ATD,COL_HH,KG_HAB,AT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,KG_HAB,BE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,BG	: 	0.03 	0.02 	0.02 	0 	0 	0.04 	0.03 	0.03 	0.01 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,CY	: 	0 	0 	0.08 	0 	0 	: 	: 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,CZ	: 	0.01 	0.02 	0.01 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,DE	: 	0.01 	0.01 	0.02 	0.02 	0.01 	0.01 	0.02 	0 	0.03 	0.02 	0.01 	0.07 	: 
EE_ATD,COL_HH,KG_HAB,DK	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,KG_HAB,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,KG_HAB,EL	: 	0.06 	0.05 d	0.04 	0.02 d	0.02 d	0.02 d	0.01 d	0.01 	0.03 	0.01 	0.01 	0 	0 
EE_ATD,COL_HH,KG_HAB,ES	: 	0 	0.01 	0.01 	0.22 	0 	0.12 	0 	0 	0 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,EU27_2020	: 	0.01 s	: 	0.01 	0.03 	0 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,EU28	: 	0.01 s	: 	0.01 	0.02 	0 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,FI	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,KG_HAB,FR	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,KG_HAB,HR	: 	0.03 	0.03 	0.03 	0 	0 	0 	0 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,HU	: 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,IE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,IS	: 	0.01 	0.01 	0.01 	0 	0 	0 	0 	0.01 	0 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,IT	: 	: 	: 	0 	0 	0 	0 	0 	0 	0 	0.01 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,KG_HAB,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,KG_HAB,LV	: 	0.01 	0.02 	0.01 	0.02 	0.06 	0.01 	0 	0.01 	0.02 	0 	0 	: 	: 
EE_ATD,COL_HH,KG_HAB,MT	: 	0.02 	0.03 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
EE_ATD,COL_HH,KG_HAB,NL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,KG_HAB,NO	: 	0.02 	0.02 	0 	0 	0 	0.03 	0 	0 	0 	0 	0 	0.02 	: 
EE_ATD,COL_HH,KG_HAB,PL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,KG_HAB,PT	: 	0 	: 	0.02 	0.01 	0.02 	0.01 	0.03 	0.04 	0.13 	0.06 	0.01 	0 	: 
EE_ATD,COL_HH,KG_HAB,RO	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,KG_HAB,SE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,KG_HAB,SI	: 	0.02 	0.05 	0.01 	0 	0 	0.02 	0 	0.02 	0.01 	0.02 	0.04 	: 	: 
EE_ATD,COL_HH,KG_HAB,SK	: 	0 	0 	0 	0 	0.01 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,KG_HAB,UK	: 	0.01 	0.01 	0.01 	0 d	0 	0 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,T,AT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,T,BE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,T,BG	: 	186 	153 	154 	23 	18 	288 	188 	229 	91 	: 	: 	: 	: 
EE_ATD,COL_HH,T,CY	: 	0 	0 	65 	0 	1 	: 	: 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,T,CZ	116 	79 	208 	123 	40 	42 	51 	2 	48 	4 	0 	1 	: 	: 
EE_ATD,COL_HH,T,DE	567 	1060 	629 	1530 	1549 	480 	1054 	1218 	45 	2617 	1847 	1195 	5592 	: 
EE_ATD,COL_HH,T,DK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,T,EE	7 	6 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,T,EL	449 	675 	513 d	473 	180 d	247 d	184 d	147 d	60 	314 	91 	164 	1 	0 
EE_ATD,COL_HH,T,ES	1 	78 	451 	426 	10134 	4 	5466 	6 	8 	8 	: 	: 	: 	: 
EE_ATD,COL_HH,T,EU27_2020	: 	2504 s	: 	3292 	12182 	1250 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_HH,T,EU28	: 	3105 s	: 	3849 	12185 	1251 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_HH,T,FI	0 	0 	0 	0 	1 	0 	0 	2 	2 	23 	8 	10 	1 	0 
EE_ATD,COL_HH,T,FR	59 	53 	81 	1 	40 	24 	33 	16 	95 	16 	9 	7 	0 	: 
EE_ATD,COL_HH,T,HR	106 	113 	129 	121 	20 	1 	12 	9 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_HH,T,HU	: 	92 	81 	52 	50 	51 	51 	7 	7 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,T,IE	6 	8 	12 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_HH,T,IS	: 	3 	2 	2 	0 	0 	1 	1 	4 	0 	: 	: 	: 	: 
EE_ATD,COL_HH,T,IT	: 	: 	: 	4 	3 	22 	24 	27 	14 	0 	467 	255 	: 	: 
EE_ATD,COL_HH,T,LT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	1 
EE_ATD,COL_HH,T,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_HH,T,LV	30 	22 	34 	15 	47 	112 	15 	2 	31 	51 	2 	1 	: 	: 
EE_ATD,COL_HH,T,MT	: 	7 	14 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
EE_ATD,COL_HH,T,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,T,NO	241 	118 	98 	6 	10 	4 	134 	18 	2 	22 	4 	14 	70 	: 
EE_ATD,COL_HH,T,PL	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2 	18 	10 	: 
EE_ATD,COL_HH,T,PT	: 	0 	: 	223 	68 	162 	61 	279 	387 	1364 	669 	70 	0 	: 
EE_ATD,COL_HH,T,RO	: 	: 	79 	85 	12 	37 	5 	2 	11 	44 	1 	0 	0 	: 
EE_ATD,COL_HH,T,SE	2 	1 	0 	0 	4 	0 	0 	0 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,T,SI	: 	38 	94 	19 	5 	7 	42 	0 	34 	20 	37 	72 	: 	: 
EE_ATD,COL_HH,T,SK	: 	1 	6 	0 	5 	44 	22 	2 	0 	0 	0 	0 	0 	0 
EE_ATD,COL_HH,T,UK	751 	601 	490 	556 	3 d	1 	0 	1 	0 	0 	1 	12 	: 	: 
EE_ATD,COL_OTH,KG_HAB,AT	: 	0.03 	0.02 	0.01 	0.01 	0.01 	0.01 	0.01 	0.01 	0 	0.02 	0.01 	0.01 	0 
EE_ATD,COL_OTH,KG_HAB,BE	: 	0.04 	0.07 	0.06 	0.24 	0.21 	0.17 	0.15 	0.12 	0.19 	0.03 	0 	: 	: 
EE_ATD,COL_OTH,KG_HAB,BG	: 	0 	0 	0 	0 	0.02 	0 	0 	0 	0 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,CY	: 	0 	0 	0 	0.01 	0.01 	0.02 	0.01 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_OTH,KG_HAB,CZ	: 	0.01 	0.01 	0.01 	0 	0 	0 	0.01 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_OTH,KG_HAB,DE	: 	0 	0.01 	0.04 	0.05 	0.05 	0.04 	0.04 	0.05 	0.05 	0.05 	0.02 	0.02 	: 
EE_ATD,COL_OTH,KG_HAB,DK	: 	0 	0 	0 	0 	0 	0.01 	0.01 	0 	0 	0 	0 	0.01 	: 
EE_ATD,COL_OTH,KG_HAB,EE	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.08 	0 	0 	: 
EE_ATD,COL_OTH,KG_HAB,EL	: 	0 	0.01 d	0 	0.01 d	0 d	0 d	0 d	0 	0 	0.02 	0.02 	0.01 	0 
EE_ATD,COL_OTH,KG_HAB,ES	: 	0.04 	0.04 	0.06 	0.01 	0 	0.03 	0 	0 	0.01 	0.01 	0.01 	: 	: 
EE_ATD,COL_OTH,KG_HAB,EU27_2020	: 	0.03 s	: 	0.04 	0.04 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,EU28	: 	0.03 s	: 	0.04 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,FI	: 	0.09 	0.12 	0.11 	0.13 	0.07 	0.07 	0.09 	0.03 	0.09 	0.1 	0.07 	0.09 	0.03 
EE_ATD,COL_OTH,KG_HAB,FR	: 	0.04 	0.04 	0.04 	0.03 	0.02 	0.01 	0.02 	0.01 	0.01 	0.01 	0.02 	0.01 	: 
EE_ATD,COL_OTH,KG_HAB,HR	: 	0 	0 	0.01 	0.01 	0.01 	0.04 	0.03 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,HU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0.01 	0 
EE_ATD,COL_OTH,KG_HAB,IE	: 	0.1 	0.06 	0.5 	0.13 	0.24 	0.11 	0.03 	0.2 	0.06 	0.34 	0.46 	: 	: 
EE_ATD,COL_OTH,KG_HAB,IS	: 	0 	0 	0 	0 	0 	0.04 	0.03 	0.01 	0 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,IT	: 	: 	: 	0.05 	0.03 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,LT	: 	0.04 	0.02 	0.02 	0.01 	0.01 	0.01 	0.01 	0 	0.01 	0.01 	0 	0 	0 
EE_ATD,COL_OTH,KG_HAB,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_OTH,KG_HAB,LV	: 	0.02 	0 	0.01 	0 	0 	0.07 	0.06 	0 	0 	0.02 	0.02 	: 	: 
EE_ATD,COL_OTH,KG_HAB,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
EE_ATD,COL_OTH,KG_HAB,NL	: 	0.11 	0.07 	0.06 	0.14 	0.17 	0.17 	0.18 	0.17 	0.18 	0.11 	0.1 	0.09 	0.06 
EE_ATD,COL_OTH,KG_HAB,NO	: 	0.03 	0.05 	0.06 	0.04 	0.09 	0.07 	0.11 	0.04 	0.05 	0.03 	0.04 	0.03 	: 
EE_ATD,COL_OTH,KG_HAB,PL	: 	0.05 	0.03 	0 	0 	0.01 	0.01 	0.01 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_OTH,KG_HAB,PT	: 	0 	: 	0 	0 	0 	0 	0 	0 	: 	0 	0 	0 	: 
EE_ATD,COL_OTH,KG_HAB,RO	: 	: 	0.01 	0 	0 	0.01 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_OTH,KG_HAB,SE	: 	0.05 	0.09 	0.08 	0.05 	0.09 	0.07 	0.04 	0.04 	0.03 	0.02 	0.01 	0.01 	0 
EE_ATD,COL_OTH,KG_HAB,SI	: 	0.03 	0.01 	0 	0.01 	0 	0.01 	0.02 	0 	0.02 	0.01 	0 	: 	: 
EE_ATD,COL_OTH,KG_HAB,SK	: 	0.03 	0.02 	0.05 	0.04 	0.02 	0.04 	0.04 	0.02 	0.01 	0.03 	0.02 	0.03 	0 
EE_ATD,COL_OTH,KG_HAB,UK	: 	0 	0 	0 	0 d	0.01 	0.01 	0.02 	0.01 	0.01 	0.04 	0.01 	: 	: 
EE_ATD,COL_OTH,T,AT	109 	283 	145 	75 	56 	57 	54 	52 	68 	33 	146 	87 	114 	36 
EE_ATD,COL_OTH,T,BE	2827 	453 	846 	688 	2738 	2343 	1838 	1646 	1313 	2104 	279 	0 	: 	: 
EE_ATD,COL_OTH,T,BG	: 	13 	9 	4 	3 	136 	27 	23 	1 	0 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,CY	: 	0 	1 	0 	5 	5 	15 	8 	0 	0 	0 	0 	: 	: 
EE_ATD,COL_OTH,T,CZ	143 	53 	56 	68 	12 	9 	13 	69 	5 	31 	8 	1 	: 	: 
EE_ATD,COL_OTH,T,DE	671 	110 	941 	3269 	4350 	3866 	3344 	3090 	4076 	4422 	3710 	1782 	1366 	: 
EE_ATD,COL_OTH,T,DK	10 	0 	0 	0 	1 	1 	29 	34 	10 	1 	21 	10 	55 	: 
EE_ATD,COL_OTH,T,EE	4 	2 	0 	0 	0 	0 	0 	0 	0 	0 	111 	0 	0 	: 
EE_ATD,COL_OTH,T,EL	23 	7 	60 d	8 	79 d	14 d	34 d	40 d	34 	23 	190 	262 	109 	5 
EE_ATD,COL_OTH,T,ES	2070 	1693 	1699 	2597 	333 	94 	1410 	26 	144 	428 	331 	451 	: 	: 
EE_ATD,COL_OTH,T,EU27_2020	: 	13534 s	: 	17807 	16226 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,EU28	: 	13627 s	: 	17946 	16331 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,FI	950 	502 	641 	605 	712 	404 	395 	491 	187 	469 	536 	388 	469 	170 
EE_ATD,COL_OTH,T,FR	3577 	2987 	2918 	2976 	1850 	1112 	776 	1011 	499 	772 	860 	1022 	332 	: 
EE_ATD,COL_OTH,T,HR	10 	6 	15 	46 	41 	48 	176 	132 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,HU	: 	1 	3 	3 	19 	3 	43 	38 	23 	36 	45 	13 	56 	38 
EE_ATD,COL_OTH,T,IE	1016 	471 	305 	2356 	599 	1090 	493 	136 	893 	255 	1509 	2007 	: 	: 
EE_ATD,COL_OTH,T,IS	: 	1 	1 	0 	0 	0 	13 	8 	2 	0 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,IT	: 	: 	: 	2867 	2121 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,LT	: 	119 	69 	54 	31 	34 	20 	32 	15 	24 	33 	11 	7 	0 
EE_ATD,COL_OTH,T,LU	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
EE_ATD,COL_OTH,T,LV	40 	39 	0 	21 	0 	0 	142 	133 	4 	5 	36 	35 	: 	: 
EE_ATD,COL_OTH,T,MT	: 	0 	0 	0 	0 	1 	0 	0 	0 	0 	: 	: 	: 	: 
EE_ATD,COL_OTH,T,NL	1804 	1874 	1203 	1001 	2363 	2899 	2814 	3060 	2831 	3048 	1875 	1669 	1396 	926 
EE_ATD,COL_OTH,T,NO	138 	150 	248 	301 	194 	465 	338 	528 	204 	231 	161 	166 	157 	: 
EE_ATD,COL_OTH,T,PL	: 	1724 	1039 	126 	115 	251 	249 	338 	150 	183 	139 	176 	3 	: 
EE_ATD,COL_OTH,T,PT	: 	0 	: 	1 	1 	3 	1 	7 	14 	: 	0 	41 	0 	: 
EE_ATD,COL_OTH,T,RO	: 	: 	161 	9 	53 	113 	52 	86 	68 	75 	13 	2 	0 	: 
EE_ATD,COL_OTH,T,SE	691 	464 	914 	750 	474 	877 	639 	409 	345 	240 	142 	106 	113 	42 
EE_ATD,COL_OTH,T,SI	: 	66 	21 	4 	31 	0 	20 	44 	5 	36 	16 	9 	: 	: 
EE_ATD,COL_OTH,T,SK	: 	165 	107 	281 	239 	113 	218 	216 	83 	72 	155 	97 	180 	0 
EE_ATD,COL_OTH,T,UK	122 	93 	199 	138 	104 d	373 	640 	1312 	592 	644 	2392 	877 	: 	: 
EE_ATD,MKT,KG_HAB,AT	: 	0.27 	0.27 	0.23 	0.18 	0.16 	0.16 	0.15 	0.13 	0.12 	0.14 	0.12 	0.11 	0.06 
EE_ATD,MKT,KG_HAB,BE	: 	0.22 	0.21 	0.21 	0.28 	0.22 	0.25 	0.3 	0.26 	0.26 	0.15 	0.07 	0.08 	0.03 
EE_ATD,MKT,KG_HAB,BG	: 	0.04 	0.06 	0.05 d	0.04 d	0.02 	0.03 	0.04 	0.02 	0.03 	: 	: 	: 	: 
EE_ATD,MKT,KG_HAB,CY	: 	0.01 	0.02 	0.2 	0.01 	0.01 	0.06 	0.04 	0.03 	0.05 	0.04 	0.15 e	: 	: 
EE_ATD,MKT,KG_HAB,CZ	: 	0.1 	0.04 	0.04 	0.06 	0.07 	0.08 	0.07 	0.06 	0.04 	0.06 	0.05 	: 	: 
